Type: DBException; Message: ; File: /var/www/Greyface/php/database/DataBase.php; Line: 68;
Type: DBException; Message: ; File: /var/www/Greyface/php/database/DataBase.php; Line: 68;
Type: DBException; Message: ; File: /var/www/Greyface/php/database/DataBase.php; Line: 68;
Type: DBException; Message: ; File: /var/www/Greyface/php/database/DataBase.php; Line: 68;
Type: DBException; Message: ; File: /var/www/Greyface/php/database/DataBase.php; Line: 68;
Type: ErrorException; Message: Array to string conversion; File: /var/www/Greyface/php/stores/UserAliasStore.php; Line: 99;
Type: DBException; Message: ; File: /var/www/Greyface/php/database/DataBase.php; Line: 68;
Type: DBException; Message: ; File: /intproj/users/svencc/git/Greyface/php/database/DataBase.php; Line: 68;
Type: ErrorException; Message: Object of class mysqli_result could not be converted to string; File: /intproj/users/svencc/git/Greyface/php/stores/UserAdminStore.php; Line: 101;
Type: ErrorException; Message: Object of class mysqli_result could not be converted to string; File: /intproj/users/svencc/git/Greyface/php/stores/UserAdminStore.php; Line: 101;
Type: ErrorException; Message: Array to string conversion; File: /intproj/users/svencc/git/Greyface/php/stores/UserAdminStore.php; Line: 101;
